File name,Literal,Label,Code
cell=VT_1909_01_T-S0-A87,Totaal,abbekerk,10439
cell=VT_1909_01_T-S0-A88,ABBENBROEK,abbenbroek,11026
cell=VT_1909_01_T-S0-A89,Huizen,abbenbroek,11026
cell=VT_1909_01_T-S0-A90,Totaal,abbenbroek,11026
cell=VT_1909_01_T-S0-A91,ABCOUDE-BAAMBRUGGE,abcoude-baambrugge,11184
cell=VT_1909_01_T-S0-A92,Wijk A. Huizen,abcoude-baambrugge,11184
cell=VT_1909_01_T-S0-A93,Wijk B. Huizen,abcoude-baambrugge,11184
cell=VT_1909_01_T-S0-A94,Wijk C. Huizen,abcoude-baambrugge,11184
cell=VT_1909_01_T-S0-A95,Schepen,abcoude-baambrugge,11184
cell=VT_1909_01_T-S0-A96,Tijd. Aanw. Schepen,abcoude-baambrugge,11184
cell=VT_1909_01_T-S0-A97,Totaal,abcoude-baambrugge,11184
cell=VT_1909_01_T-S0-A98,ABCOUDE PROOSTDIJ,abcoude-proostdij,10712
cell=VT_1909_01_T-S0-A99,Wijk A. Vereeniging van Liefde-zusters te Sittard.,abcoude-proostdij,10712
cell=VT_1909_01_T-S0-A100,wijk A. Overige huizen,abcoude-proostdij,10712
cell=VT_1909_01_T-S0-A101,Wijk B. Huizen,abcoude-proostdij,10712
cell=VT_1909_01_T-S0-A102,Wijk C. Huizen,abcoude-proostdij,10712
cell=VT_1909_01_T-S0-A103,Schepen,abcoude-proostdij,10712
cell=VT_1909_01_T-S0-A104,Tijd. Aanw. schepen,abcoude-proostdij,10712
cell=VT_1909_01_T-S0-A105,Niet gevonden personen,abcoude-proostdij,10712
cell=VT_1909_01_T-S0-A106,Totaal,abcoude-proostdij,10712
cell=VT_1909_01_T-S0-A107,ACHTKARSPELEN,achtkarspelen,10199
cell=VT_1909_01_T-S0-A108,"Buitenpost, Marechaussee kazerne",achtkarspelen,10199
cell=VT_1909_01_T-S0-A109,"Buitenpost, Overige huizen",achtkarspelen,10199
cell=VT_1909_01_T-S0-A110,"Lutje post, Huizen",achtkarspelen,10199
cell=VT_1909_01_T-S0-A111,"Twijzel, Huizen",achtkarspelen,10199
cell=VT_1909_01_T-S0-A112,"Kooten, Huizen",achtkarspelen,10199
cell=VT_1909_01_T-S0-A113,"Drogeham, Huizen",achtkarspelen,10199
cell=VT_1909_01_T-S0-A114,"Harkema Opeinde, Huizen",achtkarspelen,10199
cell=VT_1909_01_T-S0-A115,"Rottevalle, Huizen",achtkarspelen,10199
cell=VT_1909_01_T-S0-A116,"Surhuisterveen, Huizen",achtkarspelen,10199
cell=VT_1909_01_T-S0-A117,"Surhuizum, Huizen",achtkarspelen,10199
cell=VT_1909_01_T-S0-A118,"Augustinusga, Huizen",achtkarspelen,10199
cell=VT_1909_01_T-S0-A119,"Gerkesklooster, Huizen",achtkarspelen,10199
cell=VT_1909_01_T-S0-A120,Schepen,achtkarspelen,10199
cell=VT_1909_01_T-S0-A121,Tijd. Aanw. Schepen,achtkarspelen,10199
cell=VT_1909_01_T-S0-A122,Niet gevonden personen,achtkarspelen,10199
cell=VT_1909_01_T-S0-A123,Totaal,achtkarspelen,10199
cell=VT_1909_01_T-S0-A124,ACHTTIENHOVEN,achttienhoven,10972
cell=VT_1909_01_T-S0-A125,"Kerkdijk, Huizen",achttienhoven,10972
cell=VT_1909_01_T-S0-A126,"Kooidijk, Huizen",achttienhoven,10972
cell=VT_1909_01_T-S0-A127,"Gagel, Huizen",achttienhoven,10972
cell=VT_1909_01_T-S0-A128,"St. Anthoniedijk, Huizen",achttienhoven,10972
cell=VT_1909_01_T-S0-A129,"Louvenhoutschedijk, Huizen",achttienhoven,10972
cell=VT_1909_01_T-S0-A130,"Vechtdijk, Huizen",achttienhoven,10972
cell=VT_1909_01_T-S0-A131,Totaal,achttienhoven,10972
cell=VT_1909_01_T-S0-A132,ADORP,adorp,10996
cell=VT_1909_01_T-S0-A133,"Adorp, Huizen",adorp,10996
cell=VT_1909_01_T-S0-A134,"Harssens, Huizen",adorp,10996
cell=VT_1909_01_T-S0-A135,"Wierum, Huizen",adorp,10996
cell=VT_1909_01_T-S0-A136,"Sauwerd, Huizen",adorp,10996
cell=VT_1909_01_T-S0-A137,"Wetsinge, Huizen",adorp,10996
cell=VT_1909_01_T-S0-A138,Schepen,adorp,10996
cell=VT_1909_01_T-S0-A139,Tijd. Aanw. schepen,adorp,10996
cell=VT_1909_01_T-S0-A140,Totaal,adorp,10996
cell=VT_1909_01_T-S0-A141,ADUARD,aduard,10999
cell=VT_1909_01_T-S0-A142,"Wijk A. Aduard, Huizen",aduard,10999
cell=VT_1909_01_T-S0-A143,"Wijk B. Fransum, Huizen",aduard,10999
cell=VT_1909_01_T-S0-A144,"Wijk C. Den Ham, Huizen",aduard,10999
cell=VT_1909_01_T-S0-A145,"Wijk D. Den Horn en Hoogemeeden, Huizen",aduard,10999
cell=VT_1909_01_T-S0-A146,"Wijk E. Lagemeeden, Huizen",aduard,10999
cell=VT_1909_01_T-S0-A147,"Wijk F. Wierum, Huizen",aduard,10999
cell=VT_1909_01_T-S0-A148,Schepen,aduard,10999
cell=VT_1909_01_T-S0-A149,Totaal,aduard,10999
cell=VT_1909_01_T-S0-A150,AENGWIRDEN,aengwirden,10157
cell=VT_1909_01_T-S0-A151,"Heerenveen, Verplegingshuis",aengwirden,10157
