schalkwijk.,schalkwijk,0.09090909090909091,10378
vlieland.,vlieland,0.1111111111111111,10211
appeltern.,appeltern,0.1,11296
papendrecht.,papendrecht,0.08333333333333333,10427
reek.,reek,0.2,10671
schiebroek (geene kom),schiebroek,0.0,11306
loenen.,loenen,0.14285714285714285,11202
leijden.,leiden,0.25,10702
ambt-almelo (geene kom),ambt almelo,0.09090909090909091,11065
nieuwenhagen.,nieuwenhagen,0.07692307692307693,10088
alblasserdam.,alblasserdam,0.07692307692307693,11327
doetinchem (stad),doetinchem,0.0,10396
voorburg.,voorburg,0.1111111111111111,11103
meeden.,meeden,0.14285714285714285,10304
besoijen.,besoijen,0.1111111111111111,10056
"nuenen, gerwen en nederwetten.","nuenen, gerwen en nederwetten",0.03333333333333333,10761
groesbeek.,groesbeek,0.1,10616
breukelen nijenrode.,breukelen-nijenrode,0.1,10807
vlissingen (vervolg),vlissingen,0.0,10270
zevenhoven.,zevenhoven,0.09090909090909091,11317
oostzaan.,oostzaan,0.1111111111111111,11303
hoogland.,hoogland,0.1111111111111111,10545
alphen en riel.,alphen en riel,0.06666666666666667,10710
groot-ammers.,groot-ammers,0.07692307692307693,11205
baardwijk.,baardwijk,0.1,10006
zierikzee.,zierikzee,0.1,10843
bussum.,bussum,0.14285714285714285,10281
finsterwolde.,finsterwolde,0.07692307692307693,10212
venhuizen.,venhuizen,0.1,10433
franeker.,franeker,0.1111111111111111,11226
barneveld.,barneveld,0.1,10906
twisk.,twisk,0.16666666666666666,10371
hedel.,hedel,0.16666666666666666,10982
werkendam.,werkendam,0.1,10078
veldhoven en meereveldhoven.,veldhoven en meerveldhoven,0.07142857142857142,10071
scherpenzeel.,scherpenzeel,0.07692307692307693,11146
de bilt.,de bilt,0.125,10168
's gravendeel.,'s-gravendeel,0.14285714285714285,10052
oss.,oss,0.25,10834
middelstum.,middelstum,0.09090909090909091,11199
lithoijen.,lithoijen,0.1,10024
sint paneras,sint pancras,0.08333333333333333,10513
oisterwijk.,oisterwijk,0.09090909090909091,10103
oude-niedorp,oude niedorp,0.08333333333333333,10896
wijmbritseradeel.,wymbritseradeel,0.17647058823529413,11427
ermelo.,ermelo,0.14285714285714285,10732
vught.,vught,0.16666666666666666,11224
koudekerk.,koudekerke,0.1,11428
ruurlo.,ruurlo,0.14285714285714285,10879
philippine.,philippine,0.09090909090909091,10486
bergeik,bergeijk,0.125,11160
stad aan 't haringvliet.,stad aan 't haringvliet,0.041666666666666664,11239
helder,helden,0.16666666666666666,10205
numansdorp.,numansdorp,0.09090909090909091,11346
arenhorn,avenhorn,0.125,11147
's graveland.,'s-graveland,0.15384615384615385,10534
nieuwvosmeer.,nieuw-vosmeer,0.15384615384615385,10401
goirle.,goirle,0.14285714285714285,10971
rhijnsburg.,rhijnsburg,0.09090909090909091,11118
kats.,kats,0.2,10919
oijen en teeffelen.,oijen en teeffelen,0.05263157894736842,10869
maasdam.,maasdam,0.125,11019
deursen en dennenburg.,deursen en dennenburg,0.045454545454545456,10209
wetsdongeradeel,westdongeradeel,0.13333333333333333,10129
strijp.,strijp,0.14285714285714285,10521
willemstad.,willemstad,0.09090909090909091,10827
marum (geene kom),marum,0.0,11431
mill en st. hubert.,mill en sint hubert,0.21052631578947367,10535
beemster.,beemster,0.1111111111111111,10816
moercapelle.,moerkapelle,0.16666666666666666,11383
gendringen.,gendringen,0.09090909090909091,10260
hei- en boeicop.,hei- en boeicop,0.0625,11024
bedum.,bedum,0.16666666666666666,10425
oude niedorp.,oude niedorp,0.07692307692307693,10896
klimmen.,klimmen,0.125,10977
vier polders.,vierpolders,0.15384615384615385,11056
noordwijkerhout.,noordwijkerhout,0.0625,11134
wittem.,wittem,0.14285714285714285,11371
buiksloot.,buiksloot,0.1,10961
leende.,leende,0.14285714285714285,11017
haelen.,haelen,0.14285714285714285,10321
lochem.,lochem,0.14285714285714285,11263
slenaken.,slenaken,0.1111111111111111,11274
ste. geertruid.,sint geertruid,0.26666666666666666,10288
hazerswoude.,hazerswoude,0.08333333333333333,11257
broeksitttert,broeksittard,0.23076923076923078,10655
tubbergen.,tubbergen,0.1,10694
poortugal,poortugaal,0.1,11395
pijnacker.,pijnacker,0.1,10031
haskerland.,haskerland,0.09090909090909091,10022
hillegom.,hillegom,0.1111111111111111,11236
kloetinge.,kloetinge,0.1,10155
hulsberg.,hulsberg,0.1111111111111111,11216
odoorn.,odoorn,0.14285714285714285,11320
tietjerksteradeel.,tietjerksteradeel,0.05555555555555555,11241
anlo,anloo,0.2,10787
ijsselmuiden.,ijsselmuiden,0.07692307692307693,10641
ezinge.,ezinge,0.14285714285714285,10136
muiden.,muiden,0.14285714285714285,10958
schimmert.,schimmert,0.1,11076
lichtenvoorde.,lichtenvoorde,0.07142857142857142,10242
someren.,someren,0.125,10203
ophemert.,ophemert,0.1111111111111111,10829
vlist (geene kom),vlist,0.0,11174
alphen.,alphen,0.14285714285714285,10995
meijel.,meijel,0.14285714285714285,10925
dommelen.,dommelen,0.1111111111111111,10424
opperdoes.,opperdoes,0.1,10523
texel.,texel,0.16666666666666666,10237
giessen nieuwkerk.,giessen-nieuwkerk,0.1111111111111111,10255
cothen.,cothen,0.14285714285714285,11316
elst.,elst,0.2,11188
vollenhove (stad).,vollenhove,0.0,11088
ouwerkerk.,ouwerkerk,0.1,10968
stavenisse.,stavenisse,0.09090909090909091,10619
ridderkerk.,ridderkerk,0.09090909090909091,10646
stramproij,stramproy,0.2,11186
goudriaan.,goudriaan,0.1,10450
bierum.,bierum,0.14285714285714285,11294
gorinchem.,gorinchem,0.1,10942
cats,kats,0.25,10919
aalten.,aalten,0.14285714285714285,11046
langbroek.,langbroek,0.1,11413
krimpen a/d lek,krimpen aan de lek,0.2222222222222222,10617
harlingen.,harlingen,0.1,10909
reeuwijk.,reeuwijk,0.1111111111111111,10485
goes.,goes,0.2,10674
schagen.,schagen,0.125,10511
ambt-hardenberg (geene kom),ambt hardenberg,0.06666666666666667,10174
almelo (ambt).,almelo,0.0,11053
wieringerwaard.,wieringerwaard,0.06666666666666667,11164
hardenberg (ambt).,hardenberg,0.0,10174
bleskensgraaf en hofwegen.,bleskensgraaf en hofwegen,0.038461538461538464,10451
ottersum.,ottersum,0.1111111111111111,10862
budel.,budel,0.16666666666666666,10219
hensbroek.,hensbroek,0.1,10181
warder.,warder,0.14285714285714285,11073
horn.,horn,0.2,11176
dell,deil,0.25,10057
asperen.,asperen,0.125,11369
stoutenburg.,stoutenburg,0.08333333333333333,10438
uithuizen.,uithuizen,0.1,11137
bladel c.a.,bakel c.a.,0.18181818181818182,10749
kuik en st. agatha,cuijk en sint agatha,0.25,10023
witten,wittem,0.16666666666666666,11371
bergen op zoom.,bergen op zoom,0.06666666666666667,11037
kampen.,kampen,0.14285714285714285,10253
werkhoven.,werkhoven,0.1,11299
borculo.,borculo,0.125,11307
oude-pekela,oude pekela,0.09090909090909091,10848
st. philipsland,sint philipsland,0.1875,10394
zwollerkarspel,zwollerkerspel,0.07142857142857142,10654
berg en terbijt,berg en terblijt,0.0625,10796
loenersloot.,loenersloot,0.08333333333333333,10208
borne.,borne,0.16666666666666666,10326
st. anna ter muiden,sint anna ter muiden,0.15,11012
heilo,heiloo,0.16666666666666666,10793
zuijlen,zuilen,0.14285714285714285,10059
beesd.,beesd,0.16666666666666666,10259
dongen.,dongen,0.14285714285714285,11412
spanbroek.,spanbroek,0.1,10063
strijen.,strijen,0.125,10558
balgoij.,balgoij,0.125,10849
gouda.,gouda,0.16666666666666666,10302
doniawerstal.,doniawerstal,0.07692307692307693,10086
ambt-delden (geen kom),ambt delden,0.09090909090909091,11400
zwaag.,zwaag,0.16666666666666666,10218
geervliet.,geervliet,0.1,10842
stad-vollenhove,stad vollenhove,0.06666666666666667,11183
oud vroenhoven,oud-vroenhoven,0.07142857142857142,11348
zwammerdam.,zwammerdam,0.09090909090909091,10675
nieuw en st. joosland,nieuw- en sint joosland,0.17391304347826086,11340
's gravenpolder,'s-gravenpolder,0.06666666666666667,11059
melissant.,melissant,0.1,10918
enschede.,enschede,0.1111111111111111,10364
wanneperveen.,wanneperveen,0.07692307692307693,10105
barsingerhorn (vervolg),barsingerhorn,0.0,10973
swalmen.,swalmen,0.125,10474
's heerenhoek,'s-heerenhoek,0.07692307692307693,10721
borger.,borger,0.14285714285714285,10448
badel,bladel,0.16666666666666666,11006
haren (gron.),haren,0.0,11058
teteringen.,teteringen,0.09090909090909091,10677
oud- en nieuw-gastel.,oud- en nieuw-gastel,0.047619047619047616,11363
ittervoort.,ittervoort,0.09090909090909091,10190
belfeld.,belfeld,0.125,10292
riethoven.,riethoven,0.1,10455
bergh.,bergh,0.16666666666666666,10350
schore.,schore,0.14285714285714285,10544
maarn (geene kom),maarn,0.0,10392
lonneker.,lonneker,0.1111111111111111,11045
broekhuijsen.,broekhuijsen,0.07692307692307693,10856
harmelen.,harmelen,0.1111111111111111,10183
rossum.,rossum,0.14285714285714285,10860
klundert.,klundert,0.1111111111111111,10656
