Kampen.,kampen,0.14285714285714285
Brandwijk.,brandwijk,0.1
IJsselmuiden.,ijsselmuiden,0.07692307692307693
Voorst.,voorst,0.14285714285714285
Ottoland (Geene kom),ottoland,0.0
Veur.,veur,0.2
Ammerstol.,ammerstol,0.1
Gulpen.,gulpen,0.14285714285714285
Langbroek (Geene kom),langbroek,0.0
Maashees,maarheeze,0.3333333333333333
Hardenberg (Stad),hardenberg,0.0
Zonnemaire.,zonnemaire,0.09090909090909091
Haarlemmermeer.,haarlemmermeer,0.06666666666666667
Veldhuizen.,veldhuizen,0.09090909090909091
Oldehove.,oldehove,0.1111111111111111
Helden.,helden,0.14285714285714285
Nieuwendam.,nieuwendam,0.09090909090909091
Oirsbeek.,oirsbeek,0.1111111111111111
Woudenberg.,woudenberg,0.09090909090909091
Papekop (Geene kom),papekop,0.0
Dreumel.,dreumel,0.125
Workum.,workum,0.14285714285714285
Gent,gendt,0.2
Breda.,breda,0.16666666666666666
Wonseradeel.,wonseradeel,0.08333333333333333
Heinenoord.,heinenoord,0.09090909090909091
Ste. Geertruid,sint geertruid,0.21428571428571427
Zundert.,zundert,0.125
Zuid-Schalkwijk c.a.,zuidschalkwijk,0.3
Overzand,ovezande,0.25
Herten.,herten,0.14285714285714285
Hardenberg (Ambt),hardenberg,0.0
Achttienhoven (Geene kom),achttienhoven,0.0
Burgh.,burgh,0.16666666666666666
Nieuwleusen.,nieuwleusen,0.08333333333333333
"Woensdrecht, Hoogerheide en Hinkelenoord.","heesbeen, eethen en genderen",0.6097560975609756
Onstwedde.,onstwedde,0.1
Grijpskerk.,grijpskerk,0.09090909090909091
Est en Opijnen.,est en opijnen,0.06666666666666667
's Heer Arendskerke,'s-heer arendskerke,0.05263157894736842
Vorden.,vorden,0.14285714285714285
Geldermalsen.,geldermalsen,0.07692307692307693
Mill,middelle,0.5
St. Jansteen.,sint jansteen,0.3076923076923077
Berg en Terblijt.,berg en terblijt,0.058823529411764705
Ubach over Worms.,ubach over worms,0.058823529411764705
Rijswijk.,rijswijk,0.1111111111111111
Stad-Delden,stad delden,0.09090909090909091
Zuidland.,zuidland,0.1111111111111111
Naaldwijk.,naaldwijk,0.1
Dieden,diemen,0.16666666666666666
de Lier.,de lier,0.125
Oldenmarkt,oldemarkt,0.1
"Meeuwen, Hull en Babilonienbroek.","meeuwen, hill en babyloniënbroek",0.12121212121212122
Wijk en Aalburg.,wijk en aalburg,0.0625
Maastricht.,maastricht,0.09090909090909091
Schaasberg,schaesberg,0.1
Deurne en Liessel.,deurne en liessel,0.05555555555555555
Heumen.,heumen,0.14285714285714285
's Hertogenbosch.,s hertogenbosch,0.11764705882352941
Zevenhuizen.,zevenhuizen,0.08333333333333333
St. Oedenrode.,st. oedenrode,0.07142857142857142
Loosduinen.,loosduinen,0.09090909090909091
Dungen,dongen,0.16666666666666666
Helder (Vervolg),helden,0.16666666666666666
Schinnen.,schinnen,0.1111111111111111
Kedichem (Geene kom),kedichem,0.0
Egmond Binnen,egmond-binnen,0.07692307692307693
Krimpen aan den IJssel.,krimpen aan den ijssel,0.043478260869565216
Koevorden,coevorden,0.1111111111111111
Schoterland.,schoterland,0.08333333333333333
Wateringen.,wateringen,0.09090909090909091
Oosterhesselen.,oosterhesselen,0.06666666666666667
Dreischor.,dreischor,0.1
Oh√© en Laak.,ohé en laak,0.23076923076923078
Werkhoven.,werkhoven,0.1
Borkelo,boekel,0.2857142857142857
Delden (Ambt),delden,0.0
Wessem.,wessem,0.14285714285714285
Ottersum.,ottersum,0.1111111111111111
Beilen.,beilen,0.14285714285714285
Melissant.,melissant,0.1
Haren (Gron.),haren,0.0
Meppel.,meppel,0.14285714285714285
Krimpen a/d Lek,krimpen aan de lek,0.2222222222222222
Uithuistermeeden.,uithuizermeeden,0.17647058823529413
Goor.,goor,0.2
Standaarbuiten.,standdaarbuiten,0.13333333333333333
Tegelen.,tegelen,0.125
Aagtekerke.,aagtekerke,0.09090909090909091
Beijerland (Oud-).,reiderland,0.2
Weerselo (Geene kom),weerselo,0.0
Soerendonk.,voerendaal,0.45454545454545453
Susteren.,susteren,0.1111111111111111
Zweelo.,zweeloo,0.14285714285714285
Haskerland (vervolg),haskerland,0.0
Batmen,bathmen,0.14285714285714285
Eijgelshoven.,eijgelshoven,0.07692307692307693
Nederweert.,nederweert,0.09090909090909091
Wijmbritseradeel,wymbritseradeel,0.125
Koog a/d Zaan.,koog aan de zaan,0.3125
Ommen (Ambt).,ommen,0.0
Oud-Vosmeer,oud-vossemeer,0.15384615384615385
Hilversum.,hilversum,0.1
Strucht.,strucht,0.125
Heijthuijsen,heythuysen,0.3333333333333333
IJsselstein.,ijsselstein,0.08333333333333333
Menaldumadeel.,menaldumadeel,0.07142857142857142
Doorwerth.,doorwerth,0.1
Fort Bath en Bath.,rilland en bath,0.4444444444444444
Oudendijk.,oudendijk,0.1
Stein.,stein,0.16666666666666666
's Gravemoer.,s gravemoer,0.15384615384615385
Jabeek.,jabeek,0.14285714285714285
Zijpe.,zijpe,0.16666666666666666
Loon op Zand.,loon op zand,0.07692307692307693
Stedum.,stedum,0.14285714285714285
Waddinxveen (Noord-),waddinxveen,0.0
Berkenwoude.,berkenwoude,0.08333333333333333
Bommel (den).,bemmel,0.16666666666666666
Berkel en Rodenrijs.,berkel en rodenrijs,0.05
Hedikhuizen.,hedikhuizen,0.08333333333333333
Olst.,olst,0.2
Buggenum.,buggenum,0.1111111111111111
Zwartsluis.,zwartsluis,0.09090909090909091
Hoogwoud.,hoogwoud,0.1111111111111111
Baarland.,baarland,0.1111111111111111
Nieuwvosmeer,nieuw-vosmeer,0.07692307692307693
St. Laurens.,sint laurens,0.3333333333333333
Apeldoorn.,apeldoorn,0.1
Kortenhoef.,kortenhoef,0.09090909090909091
Baarderadeel.,baarderadeel,0.07692307692307693
Waspik.,waspik,0.14285714285714285
Nederhorstdenberg,nederhorst den berg,0.10526315789473684
Tietjerksteradeel.,tietjerksteradeel,0.05555555555555555
Heinkenszand.,heinkenszand,0.07692307692307693
Zuid-Scharwoude.,zuid-scharwoude,0.0625
Poortvliet.,poortvliet,0.09090909090909091
Maasbracht.,maasbracht,0.09090909090909091
Beijerland (Nieuw-).,reiderland,0.2
Diever.,diever,0.14285714285714285
Wijnandsrade.,wijnandsrade,0.07692307692307693
Emmen.,emmen,0.16666666666666666
Terschelling.,terschelling,0.07692307692307693
West-Dongeradeel.,westdongeradeel,0.11764705882352941
Brummen.,brummen,0.125
Bommenede.,bommenede,0.1
Sluis.,sluis,0.16666666666666666
Maashees en Overloon.,maashees en overloon,0.047619047619047616
Linne.,linne,0.16666666666666666
Bellingewolde,bellingwolde,0.07692307692307693
Zuid- en Noordschermer,zuid- en noord-schermer,0.043478260869565216
Hummelo en Keppel.,hummelo en keppel,0.05555555555555555
Leens.,leens,0.16666666666666666
Bodegraven.,bodegraven,0.09090909090909091
Neeritter.,neeritter,0.1
Oostvoorne.,oostvoorne,0.09090909090909091
Beek en Donk.,beek en donk,0.07692307692307693
Limburg.,rimburg,0.25
Borkel en Schaft.,borkel en schaft,0.058823529411764705
Stad-Almelo,stad almelo,0.09090909090909091
Herwijnen.,herwijnen,0.1
Schin op Geulle.,schin op geul,0.1875
Watergraafsmeer.,watergraafsmeer,0.0625
Heteren.,heteren,0.125
Nibbikswoud,nibbixwoud,0.18181818181818182
Chaam.,chaam,0.16666666666666666
Grijpskerke.,grijpskerke,0.08333333333333333
Angerlo (Geene kom),angerlo,0.0
Heijthuijsen.,heythuysen,0.38461538461538464
Langeruigeweide.,lange ruige weide,0.17647058823529413
Zuidzande.,zuidzande,0.1
Heesbeen,geesteren,0.3333333333333333
Heer Hugowaard.,heerhugowaard,0.13333333333333333
Clinge.,clinge,0.14285714285714285
's Heerenhoek.,'s-heerenhoek,0.14285714285714285
"Vessem, Wintelre en Knegsel.","vessem, wintelre en knegsel",0.03571428571428571
Sommelsdijk.,sommelsdijk,0.08333333333333333
Wormerveer.,wormerveer,0.09090909090909091
Steenderen.,steenderen,0.09090909090909091
Serooskerke (Walcheren).,meliskerke,0.36363636363636365
Herkingen.,herkingen,0.1
Ameide.,ameide,0.14285714285714285
Alblas (Oud-).,oud-alblas,0.4
Ensched√©,enschede,0.2222222222222222
Delfzijl.,delfzijl,0.1111111111111111
Pernis.,pernis,0.14285714285714285
Capelle.,capelle,0.125
Schoondijke.,schoondijke,0.08333333333333333
Middelstum.,middelstum,0.09090909090909091
Aarlanderveen.,aarlanderveen,0.07142857142857142
Son c.a.,oijen c.a.,0.4
Vucht,vught,0.2
Stoutenburg.,stoutenburg,0.08333333333333333
Hensbroek.,hensbroek,0.1
Zwollerkarspel,zwollerkerspel,0.07142857142857142
Groede.,groede,0.14285714285714285
Duiven.,duiven,0.14285714285714285
Vollenhoven (Ambt),vollenhove,0.09090909090909091
Munstergeleen.,munstergeleen,0.07142857142857142
Koudekerke.,koudekerke,0.09090909090909091
Alkemade (Vervolg),alkemade,0.0
Schoonebeek (Geene kom),schoonebeek,0.0
Tonge (Oude).,dongen,0.3333333333333333
Stratum.,stratum,0.125
Bergen.,bergen,0.14285714285714285
Ilpendam.,ilpendam,0.1111111111111111
Angerlo.,angerlo,0.125
Westbroek.,westbroek,0.1
Heerdewaarden,heerewaarden,0.07692307692307693
St. Annaland,sint annaland,0.23076923076923078
Beegden.,beegden,0.125
Ruwiel.,ruwiel,0.14285714285714285
Best.,best,0.2
Tienhoven.,tienhoven,0.1
Texel.,texel,0.16666666666666666
Helmond.,helmond,0.125
Teteringen.,teteringen,0.09090909090909091
Ovezande.,ovezande,0.1111111111111111
Weerd,weert,0.2
Warnsveld. (Vervolg),warnsveld,0.1
Leerbroek (Geene kom),leerbroek,0.0
Kerkwijk.,kerkwijk,0.1111111111111111
Kantens.,kantens,0.125
Buiksloot.,buiksloot,0.1
Megen.,megen,0.16666666666666666
Beverwijk.,beverwijk,0.1
Bunnik.,bunnik,0.14285714285714285
Havelte (Geene kom),havelte,0.0
West-Stellingwerf.,weststellingwerf,0.1111111111111111
Heerde.,heerde,0.14285714285714285
Utingeradeel.,utingeradeel,0.07692307692307693
Bloemendaal.,bloemendaal,0.08333333333333333
Gieten.,gieten,0.14285714285714285
Tonge (Nieuwe).,dongen,0.3333333333333333
Poortugal,poortugaal,0.1
Waddinxveen (Noord-).,waddinxveen,0.0
Baarn.,baarn,0.16666666666666666
Horst.,horst,0.16666666666666666
Heenvliet.,heenvliet,0.1
Deursen,deurne,0.2857142857142857
Lopik.,lopik,0.16666666666666666
Renswoude.,renswoude,0.1
Neer.,neer,0.2
Krimpen aan de Lek.,krimpen aan de lek,0.05263157894736842
Lekkerland (Nieuw-),lemsterland,0.2727272727272727
Ferwerderadeel.,ferwerderadeel,0.06666666666666667
Vledder.,vledder,0.125
Oijen en Teeffelen.,oijen en teeffelen,0.05263157894736842
Witten,wittem,0.16666666666666666
Schoten.,schoten,0.125
Warmenhuizen.,warmenhuizen,0.07692307692307693
Oud Valkenburg,oud-valkenburg,0.07142857142857142
Nieuwerkerk.,nieuwerkerk,0.08333333333333333
Charlois.,charlois,0.1111111111111111
Urk.,urk,0.25
Urmond.,urmond,0.14285714285714285
Oost-Stellingwerf.,ooststellingwerf,0.1111111111111111
Harmelen (vervolg),harmelen,0.0
Batenburg.,batenburg,0.1
Wehl.,wehl,0.2
Barradeel.,barradeel,0.1
Dwingelo.,dwingeloo,0.1111111111111111
Wedde.,wedde,0.16666666666666666
Kapelle a/d IJsel,capelle aan den ijssel,0.3181818181818182
Odili√´nberg.,sint odiliënberg,0.5
Haps.,haps,0.2
Meliskerke.,meliskerke,0.09090909090909091
Amstenrade.,amstenrade,0.09090909090909091
Berg,bergh,0.2
Vlaardingen.,vlaardingen,0.08333333333333333
's Hertogenbosch,s hertogenbosch,0.0625
Hilligersberg,hillegersberg,0.07692307692307693
Nijeveen.,nijeveen,0.1111111111111111
Doetinchem (Ambt-) (Geene kom),doetinchem,0.0
Losser.,losser,0.14285714285714285
Eemnes.,eemnes,0.14285714285714285
Appeltern.,appeltern,0.1
Alblasserdam.,alblasserdam,0.07692307692307693
Varik.,varik,0.16666666666666666
Hoogeloon,hoogeveen,0.3333333333333333
