File name,Literal,Label,Code
cell=VT_1859_01_H1-S0-C105,kom. wijk a,BinnenKom
cell=VT_1859_01_H1-S0-C106,kom. wijk b,BinnenKom
cell=VT_1859_01_H1-S0-C107,kom. wijk c,BinnenKom
cell=VT_1859_01_H1-S0-C108,buiten de kom. wijk c wachthuis,BuitenKom
cell=VT_1859_01_H1-S0-C109,kom. wijk d,BinnenKom
cell=VT_1859_01_H1-S0-C110,kom. wijk e,BinnenKom
cell=VT_1859_01_H1-S0-C111,kom. wijk f,BinnenKom
cell=VT_1859_01_H1-S0-C112,kom. wijk g,BinnenKom
cell=VT_1859_01_H1-S0-C113,kom. wijk h,BinnenKom
cell=VT_1859_01_H1-S0-C114,kom. wijk i,BinnenKom
cell=VT_1859_01_H1-S0-C115,buiten de kom. wijk k,BuitenKom
cell=VT_1859_01_H1-S0-C116,buiten de kom. wijk k borgvliet,BuitenKom
cell=VT_1859_01_H1-S0-C117,buiten de kom. schepen,BuitenKom
cell=VT_1859_01_H1-S0-C121,kom. wijk a eikereind,BinnenKom
cell=VT_1859_01_H1-S0-C122,buiten de kom. wijk a eikereind,BuitenKom
cell=VT_1859_01_H1-S0-C123,buiten de kom. wijk a broekstraat,BuitenKom
cell=VT_1859_01_H1-S0-C124,buiten de kom. wijk a de berkten,BuitenKom
cell=VT_1859_01_H1-S0-C125,buiten de kom. wijk b loo,BuitenKom
cell=VT_1859_01_H1-S0-C126,buiten de kom. wijk b de berkten,BuitenKom
cell=VT_1859_01_H1-S0-C127,buiten de kom. wijk b webosch,BuitenKom
cell=VT_1859_01_H1-S0-C128,buiten de kom. wijk b witrijt,BuitenKom
cell=VT_1859_01_H1-S0-C131,wijk a berkel. kom,BinnenKom
cell=VT_1859_01_H1-S0-C132,wijk a berkel. buiten de kom,BuitenKom
cell=VT_1859_01_H1-S0-C133,kom. wijk b enschot,BinnenKom
cell=VT_1859_01_H1-S0-C134,buiten de kom. wijk b enschot,BuitenKom
cell=VT_1859_01_H1-S0-C135,buiten de kom. wijk c huyclom,BuitenKom
cell=VT_1859_01_H1-S0-C139,wijk a. kom,BinnenKom
cell=VT_1859_01_H1-S0-C140,wijk a. buiten de kom,BuitenKom
cell=VT_1859_01_H1-S0-C141,kom. wijk b,BinnenKom
cell=VT_1859_01_H1-S0-C142,buiten de kom. wijk b,BuitenKom
cell=VT_1859_01_H1-S0-C143,buiten de kom. wijk c middelrode,BuitenKom
cell=VT_1859_01_H1-S0-C144,buiten de kom. wijk d kaathoven,BuitenKom
cell=VT_1859_01_H1-S0-C148,kom. regtestraat,BinnenKom
cell=VT_1859_01_H1-S0-C149,buiten de kom. oosteind,BuitenKom
cell=VT_1859_01_H1-S0-C151,kom. wijk a kerkeneind,BinnenKom
cell=VT_1859_01_H1-S0-C152,buiten de kom. wijk a de vleut,BuitenKom
cell=VT_1859_01_H1-S0-C153,buiten de kom. wijk a steenweg,BuitenKom
cell=VT_1859_01_H1-S0-C154,buiten de kom. wijk b naastenbest,BuitenKom
cell=VT_1859_01_H1-S0-C155,buiten de kom. wijk c aarle,BuitenKom
cell=VT_1859_01_H1-S0-C158,wijk a beugen. kom,BinnenKom
cell=VT_1859_01_H1-S0-C159,wijk a beugen. buiten de kom,BuitenKom
cell=VT_1859_01_H1-S0-C160,wijk b rijkevoort. kom,BinnenKom
cell=VT_1859_01_H1-S0-C161,wijk b rijkevoort. buiten de kom,BuitenKom
cell=VT_1859_01_H1-S0-C165,kom. wijk a bladel,BinnenKom
cell=VT_1859_01_H1-S0-C166,buiten de kom. wijk a heeleind,BuitenKom
cell=VT_1859_01_H1-S0-C167,buiten de kom. wijk a hoeveneind,BuitenKom
cell=VT_1859_01_H1-S0-C168,buiten de kom. wijk a helleneind,BuitenKom
